###Placeholder bollocks to test the character limit###

BM_SUPERNATURAL_ERA;Supernatural Happenings;;;;;;;;;;;;;x
BM_SUPERNATURAL_ERA_INFO;Myths and rumours have persisted since the dawn of civilisation of strange creatures and cursed men. Many dismiss it as fearmongering and legend, but, perhaps, all things find some root in reality...;;;;;;;;;;;;;x

ERA_CHAR_NAME_VAMP;Vampire;;;;;;;;;;;;;x
ERA_CHAR_INFO_69696969;A fledging vampire lord maintaining a low-profile in south-west England. Undiscovered, unexposed, and extremely ambitious. Those the curse of the bloodmage will take its toll eventually...;;;;;;;;;;;;;x
ERA_CORNWALL;County of Cornwall;;;;;;;;;;;;;x

ERA_CHAR_NAME_WEREWOLF;Werewolf;;;;;;;;;;;;;x
ERA_CHAR_INFO_69696970;A controlled Werewolf - sophisticated and grandiose. Though the traditional Werewolf manta is rule through the shadows, this ruler seeks to futher his domain and way of life.;;;;;;;;;;;;;x
ERA_OXFORD;County of Oxford;;;;;;;;;;;;;x

ERA_CHAR_NAME_SKINCHANGER;Skinchanger;;;;;;;;;;;;;x
ERA_CHAR_INFO_69696971;Blessed, or cursed, with the Skinchangers form, passed down from his ancestors, the Count of Rennes will use whatever resources at his disposal to further his dynasty.;;;;;;;;;;;;;x

ERA_CHAR_NAME_REDACTED;[REDACTED];;;;;;;;;;;;;x

ERA_RENNES;County of Rennes;;;;;;;;;;;;;x

### BOOKMARK 2 ###

BM_GODS_ERA;Gods on Earth;;;;;;;;;;;;;x
BM_GODS_ERA_INFO;In an alternate reality, the world grows ever smaller, and the gods begin to realise that their iron grip on their followers has loosened to the ravages of time. The pantheons have descended to the Earth to restore and expand their influence upon their mortal followers. A covert movement has grown in response with goals to end the tyranny of the Gods and allow mankind to follow it's own destiny!;;;;;;;;;;;;;x
